video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=RcdmO1Rw2Oo&pp=ygUFNDllcnM%3D,/@NBCSAuthentic,NBC Sports Bay Area & California,"John Lynch, Kyle Shanahan share latest on 49ers' defensive coordinator search | NBC Sports Bay Area",129,6 hours,49ers GM John Lynch and coach Kyle Shanahan speak to reporters on Wednesday to discuss San Francisco's 2025 NFL season ...,2026-01-22 06:03:01.535152
/watch?v=W1en_lwJFvo&pp=ygUFNDllcnM%3D,/@kurtwarnerqbc,Kurt Warner x QBConfidential,Kurt Warner StudyBall Aftermath: SF 49ers,4.2K,1 day,After an incredible season of overcoming the #sf49ers were simply outmanned in the divisional round against the ...,2026-01-22 06:03:01.536621
/shorts/YCBlJ1uxJio,/@nygiants,New York Giants,LT on how the Giants battled the 49ers for the NFC title #shorts #nfl #giants #nygiants #throwback,18K,12 hours,LT on how the Giants battled the 49ers for the NFC title #shorts #nfl #giants #nygiants #throwback Subscribe to the Giants ...,2026-01-22 06:03:01.539058
/watch?v=0QtdPfsBlwk&pp=ygUFNDllcnM%3D,/@RichardShermanPod,The Richard Sherman Podcast,49ers-Seahawks REACTION: Seattle dominate San Fran & Bills-Broncos ends in controversy | Sherman,114K,3 days,"Richard Sherman shares his excitement over an explosive Saturday Divisional Round, where the Seattle Seahawks completely ...",2026-01-22 06:03:10.595794
/watch?v=dyx_u1kpxZ8&pp=ygUFNDllcnM%3D,/@NFL,NFL,San Francisco 49ers vs New Orleans Saints Game Highlights | 2025 NFL Season Week 2,1.9M,4 months,"Watch live local and primetime games, NFL RedZone, and NFL Network on Plus.NFL.com Check out our other channels: NFL ...",2026-01-22 06:03:10.597355
/watch?v=VYCphXNsO-A&pp=ygUFNDllcnPSBwkJhwoBhyohjO8%3D,/@cohnzohn,Grant Cohn,The Most Likely Replacement for Robert Saleh as the 49ers DC,2.4K,12 hours,Grant Cohn discusses the most likely replacement for Robert Saleh as the San Francisco 49ers defensive coordinator. Join this ...,2026-01-22 06:03:10.602610
/watch?v=4DOLtq46bDo&pp=ygUFNDllcnPSBwkJhwoBhyohjO8%3D,/@NFLonNBC,NFL on NBC,Seahawks were in a ‘different class’ than 49ers in Divisional Round | Pro Football Talk | NFL on NBC,42K,2 days,"Chris Simms and Mike Florio react to the Seahawks' dominant win over the 49ers, explaining why Seattle has proven they are a ...",2026-01-22 06:03:10.604856
/shorts/YI89x2V8Ydw,/@csn504,Chase's Sports News,It’s Over for the 49ers: Why San Francisco’s Super Bowl Window Has Slammed Shut,750,10 hours,The San Francisco 49ers may be stuck — and that could spell the end of their Super Bowl hopes. After a humiliating 41–6 loss to ...,2026-01-22 06:03:10.608420
/watch?v=QR2dDYU-JPg&pp=ygUFNDllcnM%3D,/@CBSSports,CBS Sports,Top Landing Spots for Brandon Aiyuk after GM says he 'won't play for 49ers again',10K,8 hours,Tyler Sullivan joins CBS Sports HQ with top landing spots for WR Brandon Aiyuk after the 49ers GM says Aiyuk 'won't play for the ...,2026-01-22 06:03:10.609962
/watch?v=-yYdBbKX3KM&pp=ygUFNDllcnM%3D,/@NightcapShow_,Nightcap,Unc & Ocho STUNNED Seahawks DOMINATE 49ers 41–6 to reach NFC Championship! | Nightcap,244K,4 days,Shannon Sharpe and Chad “Ochocinco” Johnson react to Sam Darnold and the Seattle Seahawks dominate the San Francisco ...,2026-01-22 06:03:10.611557
/shorts/sa2pPaJpa7o,/@49ersRush,John Chapman,Is The 49ers Next Defensive Coordinator Already In House,1.3K,8 hours,There are several ways to support the podcast! Join us at The49ersRush.com for all of our All22 film breakdowns and bonus ...,2026-01-22 06:03:10.617979
/watch?v=DKez-2bXRS0&pp=ygUFNDllcnM%3D,/@cohnzohn,Grant Cohn,Harsh but Fair Criticism for 49ers DC Robert Saleh,5.5K,2 days,Grant Cohn and Lowell Cohn discuss harsh but fair criticism of San Francisco 49ers defensive coordinator Robert Saleh. Join this ...,2026-01-22 06:03:10.619281
/watch?v=XVnDDzpowR4&pp=ygUFNDllcnPSBwkJhwoBhyohjO8%3D,/@NBCSAuthentic,NBC Sports Bay Area & California,"John Lynch, Kyle Shanahan recap 49ers' 2025 season, detail offseason plans | NBC Sports Bay Area",1.9K,8 hours,49ers GM John Lynch and coach Kyle Shanahan speak to reporters on Wednesday to reflect on San Francisco's 2025 NFL ...,2026-01-22 06:03:10.620739
/watch?v=6s9X0butGhY&pp=ygUFNDllcnM%3D,/@cohnzohn,Grant Cohn,Quality Control: An Honest Assessment of the 49ers' Future,13K,Streamed 2 days,"Grant Cohn gives his honest assessment of the San Francisco 49ers' future, plus much more. Sign up for PrizePicks with CODE: ...",2026-01-22 06:03:10.622777
/watch?v=DlnVsUSKmoY&pp=ygUFNDllcnM%3D,/@49ersTV,49ers Report by Chat Sports,🚨MAJOR San Francisco Rumors On 49ers DC Search | Robert Saleh Replacements,21K,1 day,Major San Francisco 49ers rumors after Robert Saleh was named the next head coach of the Tennessee Titans.,2026-01-22 06:03:10.624091
/watch?v=4QBbUhYrKzk&pp=ygUFNDllcnM%3D,/@GoldStandardNetwork,Gold Standard 49ers Podcast Network,49ers Seahawks Divisional Instant Reaction: Brock Purdy vs. Sam Darnold,14K,Streamed 4 days,THANKS TO SLEEPER: Use promo code GSP on Sleeper and get 100% match up to $100! https://Sleeper.com/promo/GSP.,2026-01-22 06:03:10.627662
/watch?v=gKelS2IjYeo&pp=ygUFNDllcnM%3D,/@49ers-OG-NATION,49ers OG NATION,🚨 BREAKING🚨 Full NFL LIVE | Brian Flores to 49ers; Jim Schwarz scheme fit; Saleh leaves for Titans,194,11 hours,"49ers news,49ers news today,nfl updates today,sf 49ers,sf 49ers news,san francisco 49ers,49ers rumors,san francisco 49ers ...",2026-01-22 06:03:10.629740
/watch?v=HVsu46K2QJo&pp=ygUFNDllcnM%3D,/@NFLonFOX,NFL on FOX,49ers END Eagles’ Title Defense in Wild Card 🤯 How Far Will San Francisco Go? | NFL on FOX,130K,10 days,"The ""NFL on FOX"" crew broke down the San Francisco 49ers' 23-19 win over he Philadelphia Eagles in the Wild Card Round.",2026-01-22 06:03:10.631040
/watch?v=BrEGo07y1TQ&pp=ygUFNDllcnM%3D,/@LockedOn49ers,Locked On 49ers,Robert Saleh Took WHAT JOB!? // 49ers Defensive Coordinator Candidates,1.9K,1 day,"Robert Saleh is on the move again, leaving the San Francisco 49ers to become the new head coach of the Tennessee Titans just ...",2026-01-22 06:03:10.632491
/watch?v=XXlcbpOLMNs&pp=ygUFNDllcnM%3D,/@NFL,NFL,San Francisco 49ers vs. Cleveland Browns Game Highlights | NFL 2025 Season Week 13,1.8M,1 month,"Get NFL Sunday Ticket: https://tv.youtube.com/learn/nflsundayticket/ Watch live local and primetime games, NFL RedZone, and ...",2026-01-22 06:03:10.636113
